Date,Open,High,Low,Close,Adj Close,Volume
6/13/2019,183.100006,183.869995,182.740005,183.419998,178.252274,23715800
6/12/2019,182.899994,183.279999,182,182.339996,177.202728,27758100
6/11/2019,185.059998,185.399994,182.779999,183.399994,178.232819,41260300
6/10/2019,182.25,184.850006,182.210007,183.149994,177.989883,41385300
6/7/2019,178.559998,181.770004,178.330002,181.039993,175.939285,45888300
6/6/2019,176.509995,178.039993,175.729996,177.610001,172.605957,29913200
6/5/2019,176.580002,176.610001,174.380005,176.210007,171.245422,34412700
6/4/2019,172.029999,174.970001,171.369995,174.910004,169.98201,47797800
6/3/2019,173.479996,173.949997,169.270004,170.119995,165.326981,75842300
5/31/2019,174.690002,175.289993,173.869995,173.949997,169.049072,45446200
5/30/2019,176.5,177.270004,175.770004,176.770004,171.789612,30354800
5/29/2019,176.389999,177,175.089996,176.029999,171.07048,42178800
5/28/2019,178.660004,179.660004,177.470001,177.490005,172.489365,24763800
5/24/2019,179.210007,179.850006,177.940002,178.160004,173.140442,25903300
5/23/2019,178.940002,179.020004,177.139999,178.25,173.227966,45351300
5/22/2019,180.820007,182.070007,180.75,181.020004,175.919891,24332600
5/21/2019,181.5,182.330002,180.919998,181.830002,176.707077,31613800
5/20/2019,180.490005,181.179993,179.339996,179.949997,174.880035,38608300
5/17/2019,183.100006,185.580002,182.880005,183.039993,177.882965,44702300
5/16/2019,183.169998,186.070007,182.949997,184.929993,179.719696,39281200
5/15/2019,179.350006,183.550003,179.309998,183.089996,177.931564,40944500
5/14/2019,179.520004,181.630005,178.860001,180.539993,175.4534,43360600
5/13/2019,180.289993,181.259995,178.059998,178.580002,173.54863,67185800
5/10/2019,184.110001,185.889999,181.029999,185,179.78772,58526400
5/9/2019,183.699997,185.410004,182.089996,184.770004,179.56424,55351700
5/8/2019,185.630005,187.169998,184.960007,185.770004,180.536041,37165300
5/7/2019,187.869995,188.669998,184.509995,186.240005,180.992813,58818100
5/6/2019,187.050003,190.199997,186.759995,189.940002,184.588562,38371800
5/3/2019,189.669998,191.25,189.330002,191.110001,185.725586,30386200
5/2/2019,188.869995,189.850006,186.869995,188.110001,182.81015,44110100
5/1/2019,190.779999,191.320007,188.800003,188.929993,183.606995,34797100
4/30/2019,189.479996,189.850006,188.210007,189.539993,184.199799,31495300
4/29/2019,190.649994,191.320007,190.339996,191.020004,185.638153,21716200
4/26/2019,190.179993,190.690002,188.589996,190.649994,185.278549,26359500
4/25/2019,191.130005,191.220001,189.449997,190.479996,185.113358,29517500
4/24/2019,190.470001,190.710007,189.649994,189.710007,184.365036,24977100
4/23/2019,188.399994,190.539993,188.130005,190.309998,184.948135,33665600
4/22/2019,186.570007,187.990005,186.429993,187.919998,182.625488,17936000
4/18/2019,187.460007,187.789993,186.289993,187.389999,182.110382,28580900
4/17/2019,187.75,187.929993,186.600006,187.149994,181.877167,29651600
4/16/2019,186.539993,186.910004,185.929993,186.5,181.245468,27195700
4/15/2019,185.839996,186.070007,184.619995,185.860001,180.623505,21073000
4/12/2019,185.850006,185.949997,185.059998,185.830002,180.594345,24989100
4/11/2019,185.779999,185.779999,184.690002,185.029999,179.816879,20654100
4/10/2019,184.720001,185.529999,184.520004,185.470001,180.244507,24563000
4/9/2019,184.5,185.110001,184.089996,184.479996,179.282379,25631900
4/8/2019,184.360001,185.279999,183.630005,185.130005,179.914124,22697500
4/5/2019,184.240005,184.770004,184.020004,184.660004,179.457336,25674700
4/4/2019,183.830002,184.5,182.649994,183.710007,178.534073,28530800
4/3/2019,183.759995,184.919998,183.210007,183.779999,178.602158,31633500
4/2/2019,182.240005,182.910004,181.779999,182.729996,177.581696,22645200
4/1/2019,181.509995,182.259995,180.770004,182.039993,176.911148,30969500
3/29/2019,179.690002,179.830002,178.589996,179.660004,174.598221,35205500
3/28/2019,178.360001,178.979996,177.240005,178.309998,173.286224,30368200
3/27/2019,179.320007,179.720001,176.600006,177.899994,172.887787,37096700
3/26/2019,179.600006,180.690002,178.139999,179.050003,174.005402,33248100
3/25/2019,177.910004,178.839996,176.929993,178.220001,173.19873,46336500
3/22/2019,181.779999,182.270004,178.369995,178.559998,173.529205,70794500
3/21/2019,179.220001,182.830002,179.199997,182.570007,177.426193,42428500
3/20/2019,179.059998,180.860001,178.240005,179.759995,174.695328,50105000
3/19/2019,179.179993,180,178.289993,179.050003,174.005402,36893300
3/18/2019,177.949997,178.990005,177.589996,178.449997,173.422272,32935100
3/15/2019,177.399994,178.880005,177.279999,178.350006,173.010284,38192000
3/14/2019,177.130005,177.339996,176.660004,176.710007,171.419342,23751500
3/13/2019,176.600006,177.929993,176.350006,177.009995,171.710358,42426100
3/12/2019,175.190002,176.139999,174.770004,175.690002,170.429886,33953500
3/11/2019,171.880005,174.850006,171.850006,174.729996,169.498611,30518400
3/8/2019,169.509995,171.259995,169.339996,171.169998,166.045197,39303200
3/7/2019,173.119995,173.179993,170.789993,171.429993,166.297424,39407400
